Iteration	Posterior	Likelihood	Prior	birth_rate	death_rate	diversification	turnover
2760	-115497	-115502	4.88227	0.07054047	0.01789462	0.05264585	0.01789462
2770	-115498	-115503	4.87117	0.07228148	0.02028167	0.05199981	0.02028167
2780	-115497	-115502	4.88472	0.0703285	0.01803066	0.05229784	0.01803066
2790	-115498	-115502	4.87649	0.06891724	0.01517052	0.05374672	0.01517052
2800	-115497	-115502	4.88222	0.07095619	0.01985462	0.05110157	0.01985462
2810	-115498	-115503	4.87261	0.07199545	0.02102678	0.05096867	0.02102678
2820	-115497	-115502	4.88477	0.06997766	0.01733523	0.05264243	0.01733523
2830	-115498	-115503	4.87386	0.07001118	0.01594836	0.05406283	0.01594836
2840	-115497	-115502	4.88163	0.07095837	0.01893969	0.05201869	0.01893969
2850	-115497	-115502	4.88726	0.06988945	0.01768691	0.05220254	0.01768691
2860	-115498	-115503	4.87754	0.07105915	0.01792891	0.05313024	0.01792891
2870	-115497	-115502	4.88534	0.06900993	0.01611595	0.05289398	0.01611595
2880	-115501	-115506	4.85733	0.07369738	0.02172313	0.05197425	0.02172313
2890	-115498	-115503	4.87134	0.07207329	0.02131279	0.0507605	0.02131279
2900	-115498	-115503	4.878	0.07135371	0.02075491	0.0505988	0.02075491
2910	-115497	-115502	4.87936	0.06887469	0.01537991	0.05349478	0.01537991
2920	-115497	-115502	4.88656	0.07027784	0.01850151	0.05177634	0.01850151
2930	-115500	-115504	4.86052	0.07289052	0.02266728	0.05022324	0.02266728
2940	-115497	-115502	4.87965	0.07127221	0.01952883	0.05174339	0.01952883
2950	-115497	-115502	4.87911	0.07078695	0.01771029	0.05307666	0.01771029
2960	-115497	-115502	4.8835	0.06886755	0.01576801	0.05309953	0.01576801
2970	-115497	-115502	4.88422	0.07069371	0.01922635	0.05146737	0.01922635
2980	-115499	-115504	4.89611	0.06892466	0.01794859	0.05097607	0.01794859
2990	-115497	-115502	4.8898	0.06883264	0.01647626	0.05235638	0.01647626
3000	-115497	-115502	4.88398	0.07022433	0.01762711	0.05259722	0.01762711
3010	-115499	-115504	4.87024	0.07027519	0.01586647	0.05440872	0.01586647
3020	-115500	-115505	4.85285	0.06876984	0.01356009	0.05520975	0.01356009
3030	-115497	-115502	4.87996	0.07104944	0.01856016	0.05248928	0.01856016
3040	-115497	-115502	4.88726	0.06942211	0.01688973	0.05253237	0.01688973
3050	-115497	-115502	4.88349	0.07053792	0.01821268	0.05232525	0.01821268
3060	-115498	-115503	4.87574	0.06997953	0.01610857	0.05387096	0.01610857
3070	-115498	-115503	4.8808	0.0682014	0.01494321	0.05325818	0.01494321
3080	-115499	-115504	4.88042	0.07098978	0.02082156	0.05016822	0.02082156
3090	-115498	-115503	4.87073	0.07230856	0.02062643	0.05168213	0.02062643
3100	-115497	-115502	4.88071	0.07112636	0.01931888	0.05180748	0.01931888
3110	-115498	-115503	4.87087	0.07222157	0.02101634	0.05120523	0.02101634
3120	-115498	-115503	4.89378	0.06865258	0.01685132	0.05180126	0.01685132
3130	-115497	-115502	4.8819	0.07063576	0.01801791	0.05261785	0.01801791
3140	-115498	-115503	4.8738	0.07186621	0.01910201	0.0527642	0.01910201
3150	-115499	-115504	4.86437	0.07280434	0.02181755	0.05098679	0.02181755
3160	-115497	-115502	4.885	0.06930166	0.01641071	0.05289096	0.01641071
3170	-115497	-115502	4.88469	0.07007856	0.01749848	0.05258009	0.01749848
3180	-115497	-115502	4.88673	0.07035679	0.01899155	0.05136524	0.01899155
3190	-115498	-115503	4.87577	0.06829627	0.01463355	0.05366272	0.01463355
3200	-115497	-115502	4.88041	0.07118732	0.01976806	0.05141925	0.01976806
3210	-115498	-115503	4.89295	0.06885755	0.01701327	0.05184428	0.01701327
3220	-115498	-115503	4.88876	0.06853028	0.0159975	0.05253278	0.0159975
3230	-115497	-115502	4.88109	0.07106323	0.01917423	0.051889	0.01917423
3240	-115498	-115503	4.88328	0.06782345	0.01485136	0.05297209	0.01485136
3250	-115497	-115502	4.8795	0.07065838	0.01754558	0.0531128	0.01754558
3260	-115497	-115502	4.88033	0.07101241	0.01857469	0.05243771	0.01857469
3270	-115497	-115502	4.88118	0.06958289	0.01627248	0.05331041	0.01627248
3280	-115497	-115502	4.88019	0.07102723	0.01857053	0.0524567	0.01857053
3290	-115500	-115505	4.84914	0.0675163	0.01273356	0.05478274	0.01273356
3300	-115497	-115502	4.88841	0.06983044	0.01784745	0.051983	0.01784745
3310	-115499	-115504	4.85918	0.06788415	0.01338624	0.05449791	0.01338624
3320	-115497	-115502	4.88965	0.0692904	0.01709515	0.05219525	0.01709515
3330	-115497	-115502	4.88544	0.06954053	0.01677871	0.05276182	0.01677871
3340	-115497	-115502	4.88364	0.07020489	0.01752024	0.05268465	0.01752024
3350	-115497	-115502	4.88516	0.06987101	0.01722802	0.05264299	0.01722802
3360	-115498	-115503	4.87681	0.07101538	0.01769217	0.05332321	0.01769217
3370	-115499	-115504	4.89215	0.06965788	0.01918884	0.05046903	0.01918884
3380	-115497	-115502	4.87818	0.06963468	0.0159972	0.05363749	0.0159972
3390	-115497	-115502	4.88551	0.06920693	0.01636171	0.05284521	0.01636171
3400	-115498	-115503	4.88394	0.06797541	0.0150232	0.05295221	0.0150232
3410	-115497	-115502	4.88218	0.07067204	0.0181826	0.05248944	0.0181826
3420	-115497	-115502	4.88102	0.06995014	0.0167037	0.05324644	0.0167037
3430	-115498	-115503	4.87394	0.07176975	0.02117657	0.05059319	0.02117657
3440	-115498	-115503	4.87432	0.07173531	0.02112934	0.05060597	0.02112934
3450	-115497	-115502	4.88618	0.07014405	0.01798284	0.05216121	0.01798284
3460	-115497	-115502	4.88902	0.06974404	0.01781319	0.05193085	0.01781319
3470	-115497	-115502	4.87895	0.07079797	0.0176982	0.05309977	0.0176982
3480	-115501	-115506	4.86566	0.07118952	0.01640035	0.05478917	0.01640035
